site,site_code,plot,microsite,shrub_density
Carrizo,Carrizo_3,1,Density,11
Carrizo,Carrizo_3,2,Density,12
Carrizo,Carrizo_3,1,Open,0
Carrizo,Carrizo_3,2,Open,0
Carrizo,Carrizo_4,1,Density,11
Carrizo,Carrizo_4,2,Density,10
Carrizo,Carrizo_4,1,Open,0
Carrizo,Carrizo_4,2,Open,0
Cuyama,Cuyama_1,1,Density,14
Cuyama,Cuyama_1,2,Density,13
Cuyama,Cuyama_1,1,Open,0
Cuyama,Cuyama_1,2,Open,0
Cuyama,Cuyama_2,1,Density,11
Cuyama,Cuayam_2,2,Density,11
Cuyama,Cuyama_2,1,Open,0
Cuyama,Cuyama_2,2,Open,0
Tecopa,Tecopa_shrub,1,Density,10
Tecopa,Tecopa_shrub,2,Density,11
Tecopa,Tecopa_shrub,3,Density,11
Tecopa,Tecopa_shrub,4,Density,10
Tecopa,Tecopa_open,1,Open,0
Tecopa,Tecopa_open,2,Open,0
Tecopa,Tecopa_open,3,Open,0
Tecopa,Tecopa_open,4,Open,0